longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity,county
-118.27,34.27,27.0,5205.0,859.0,2363.0,888.0,6.1946,276100.0,<1H OCEAN,Los Angeles
-118.28,34.26,32.0,1079.0,207.0,486.0,167.0,4.9833,213000.0,<1H OCEAN,Los Angeles
-118.29,34.26,33.0,3177.0,713.0,1845.0,612.0,4.008,191100.0,<1H OCEAN,Los Angeles
-118.3,34.26,38.0,1845.6,413.8,1064.0,386.0,3.8645799999999992,187880.0,<1H OCEAN,Los Angeles
-118.28,34.25,32.0,2302.0,450.0,1526.0,588.0,3.0625,179850.0,<1H OCEAN,Los Angeles
-118.29,34.25,13.5,3778.0,1054.0,2482.0,950.5,2.7761,168250.0,<1H OCEAN,Los Angeles
-118.27,34.25,36.5,1514.5,276.75,705.75,262.5,4.643225,236350.0,<1H OCEAN,Los Angeles
-118.27,34.24,30.0,2180.0,369.0,1050.0,390.0,6.3688,277600.0,<1H OCEAN,Los Angeles
-118.28,34.24,30.5,2966.0,553.0,1410.5,534.5,5.0342,290250.0,<1H OCEAN,Los Angeles
-118.3,34.25,40.0,1371.0,294.5,773.5,276.5,3.8678,187000.0,<1H OCEAN,Los Angeles
-118.33,34.24,31.0,6434.0,1188.0,3540.0,1131.0,4.2639,293300.0,<1H OCEAN,Los Angeles
-118.34999999999998,34.22,19.0,9259.0,1653.0,3963.0,1595.0,5.997,228700.0,<1H OCEAN,Los Angeles
-118.35,34.21,40.5,1271.5,266.0,925.5,255.0,3.5125,177000.0,<1H OCEAN,Los Angeles
-118.31,34.28,34.0,3258.0,610.0,1810.0,633.0,5.1145,219900.0,<1H OCEAN,Los Angeles
-118.31,34.27,35.0,1446.0,274.0,759.0,291.0,6.0808,215600.0,<1H OCEAN,Los Angeles
-118.30999999999999,34.26,38.0,2264.0,460.0,1124.0,388.0,4.2685,189600.0,<1H OCEAN,Los Angeles
-118.32,34.26,28.0,4398.0,900.5,2057.0,836.0,4.4625,207100.0,<1H OCEAN,Los Angeles
-118.35,34.28,30.0,3214.0,513.0,1700.0,533.0,4.6944,248200.0,<1H OCEAN,Los Angeles
