longitude,latitude,Sold Price,Year built,Bedrooms,Bathrooms,Full bathrooms,Total interior livable area,Elementary School Distance,Middle School Distance,High School Distance,Last Sold Price
-118.86,34.04,,1981.0,4,5.0,2.0,3558.0,2.4,,2.5,
-118.86,34.12,,2000.0,6,6.0,6.0,5816.0,3.0,4.8,6.8,1240000.0
-118.85,34.04,,2000.0,2,3.0,2.0,1831.0,1.5,,1.6,1270000.0
-118.85,34.8,428000.0,1952.0,3,3.0,2.0,2503.0,0.3,,39.5,
-118.84,34.13,,1988.0,3,3.0,2.0,2294.0,1.8,3.7,5.8,965000.0
-118.83,34.03,,1993.0,8,9.0,8.0,7173.0,0.5,,0.6,2540000.0
-118.83,34.14,,1975.75,15,13.0,9.0,3311.5,0.9,2.75,4.9,
-118.82,34.02,,1979.0,4,3.0,3.0,3576.0,0.8,,0.6,
-118.82,34.14,,1976.5,11,11.0,10.0,2075.75,0.6749999999999999,2.5,4.574999999999999,515000.0
-118.81,34.02,,,3,2.0,2.0,1800.0,0.8,,1.0,
-118.81,34.14,,1973.0,13,11.0,9.0,3261.6666666666665,0.3333333333333333,1.9666666666666668,3.9666666666666663,1410000.0
-118.8,34.01,,2007.0,7,5.0,5.0,5352.0,0.2,,1.5,5457000.0
-118.8,34.02,,1957.0,5,4.0,4.0,2500.0,0.4,,1.8,
-118.8,34.14,,1986.0,3,3.0,2.0,1610.0,1.1,1.0,3.0,639000.0
-118.79,34.02,,1999.0,3,3.0,2.0,2165.0,2.1,,2.0,1360000.0
-118.79,34.11,,1971.0,0,0.0,0.0,,4.0,3.1,3.8,
-118.79,34.15,,1974.0,4,3.0,2.0,1707.0,1.0,0.5,2.6,6250.0
-118.79,34.16,,1976.25,14,11.0,11.0,1750.75,1.075,0.32499999999999996,2.65,475250.0
-118.78,34.12,,1992.0,4,5.0,5.0,3560.0,3.1,2.6,2.7,
-118.78,34.15,,1983.0,4,3.0,3.0,2785.0,1.1,0.5,1.9,834000.0
-118.78,34.16,,1980.0,9,6.0,5.0,2688.5,0.5,0.30000000000000004,2.3,889500.0
-118.77,34.03,,,3,6.0,5.0,4090.0,4.3,,3.8,
-118.77,34.04,,2001.0,4,5.0,4.0,4614.0,4.5,,3.6,2040000.0
-118.77,34.11,,1971.0,3,3.0,3.0,1747.0,3.2,2.9,2.7,554500.0
-118.77,34.12,,1996.0,4,3.0,3.0,2972.0,3.0,2.7,2.6,
-118.77,34.15,,1983.0,14,12.0,11.0,2224.75,1.025,0.9750000000000001,1.425,610750.0
-118.77,34.16,,1987.0,5,5.0,5.0,4603.0,0.5,1.3,1.3,
-118.77,34.17,,1984.0,8,7.0,5.0,2988.0,0.9,1.15,1.6,1602500.0
-118.76,34.15,,1978.0,3,2.0,2.0,707.5,0.4,3.5,0.5,180000.0
-118.76,34.16,,1981.5,4,5.0,4.0,1956.0,0.25,1.7000000000000002,0.8500000000000001,675000.0
-118.75,34.11,,1934.0,12,9.0,7.0,2441.0,3.3666666666666667,3.733333333333333,2.733333333333333,
-118.75,34.15,,1977.0,4,4.0,3.0,1024.5,0.65,3.3499999999999996,0.4,311500.0
-118.75,34.16,,1977.6666666666667,13,10.0,9.0,2656.0,0.19999999999999998,3.5666666666666664,0.7333333333333334,803750.0
-118.75,34.17,,1974.0,9,5.0,5.0,2135.5,0.5,3.65,1.05,895450.0
-118.74,34.14,,1979.0,2,3.0,3.0,981.0,1.3,2.5,0.5,319000.0
-118.74,34.15,,1981.5,8,7.0,6.0,3002.0,1.15,2.55,0.6,
-118.73,34.03,,1977.5,8,9.0,8.0,4660.0,1.85,,6.199999999999999,
-118.73,34.14,,1973.0,2,2.0,1.0,1088.0,2.5,1.4,1.7,
-118.72,34.13,,1972.5,7,4.0,1.0,1686.5,2.5,1.3,1.8,
-118.72,34.14,,1965.0,4,3.0,3.0,2621.0,1.7,0.9,5.5,372500.0
-118.71,34.03,12750000.0,2004.0,9,10.0,9.0,7038.5,0.9,,7.25,
-118.71,34.14,,1988.0,3,3.0,3.0,948.0,1.65,0.3,4.85,376900.0
-118.71,34.75,,1965.0,3,3.0,3.0,1700.0,9.1,,30.4,170000.0
-118.7,34.03,,1963.0,8,9.0,8.0,2901.5,0.5,,8.0,5100000.0
-118.7,34.13,,1990.0,4,3.0,3.0,2215.0,1.9,0.1,4.7,970000.0
-118.7,34.16,,1971.6666666666667,9,7.0,7.0,1734.0,0.3,1.5666666666666667,4.666666666666667,657750.0
-118.7,34.17,,1980.0,2,3.0,2.0,1484.0,0.3,2.1,4.6,257000.0
-118.69,34.03,39550000.0,1998.0,4,6.0,0.0,5000.0,0.5,,8.3,21475214.0
-118.69,34.04,3181000.0,1975.0,4,4.0,3.0,3193.0,0.2,,8.3,
-118.69,34.16,,1991.0,4,4.0,3.0,4050.0,1.6,2.1,4.2,1915000.0
-118.68,34.14,,2005.0,9,11.0,9.0,5105.5,2.75,4.2,3.2,2875000.0
-118.68,34.16,,1990.5,13,13.0,12.0,5750.0,1.1,2.1,3.7,2390000.0
-118.67,34.1,,1980.0,6,6.0,6.0,6416.0,3.9,4.2,3.3,
-118.67,34.13,,2006.0,5,6.0,5.0,5149.0,1.4,3.8,2.9,2400000.0
-118.67,34.14,,2002.0,4,5.0,4.0,3600.0,1.2,3.7,2.8,2474000.0
-118.67,34.15,,2004.0,5,6.0,6.0,7700.0,0.1,2.6,2.7,3567500.0
-118.67,34.16,,1986.0,11,12.0,6.0,6388.5,0.7,2.75,3.15,
-118.67,34.18,,1988.0,5,4.0,3.0,3554.0,1.2,,1.8,
-118.67,34.45,,1941.0,2,1.0,1.0,1540.0,3.4,2.5,6.9,320000.0
-118.67,34.47,,1965.0,4,3.0,3.0,2663.0,3.5,1.9,7.0,456500.0
-118.66,34.14,,1989.0,5,5.0,5.0,5478.0,0.7,3.2,2.3,
-118.66,34.15,,1985.0,4,4.0,4.0,4664.0,0.7,3.1,2.2,990000.0
-118.66,34.17,,1957.0,3,4.0,2.0,2236.0,1.0,3.6,2.5,2499000.0
-118.66,34.18,,1974.5,8,9.0,7.0,3738.0,0.85,,1.2999999999999998,
